Cust_RefID,Cust_FirstName,Cust_LastName,Cust_PhoneNo,Cust_EmailAddress,Cust_EmailDomain,Cust_StreetAddress,Cust_Zip,Cust_AddressCity,Cust_AddressState,Cust_AddressStateISO,Cust_AddressCountry,Cust_Acct_IBAN,Cust_EstablishedIP,UserSessionInputIP,UserTrueIP,UserIP_Blacklist,TrueIP_Blacklist,True IP City,Device_ID,Device_Manufacturer,VirtualMachineSession,ISP,ISP City,Connection Type,UserAgent,UA_OS,Page activity time,FinalScore
444T1655A21657NV,Merrill,Riley,1-894-769-1383,Merrill_Riley@protonmail.com,protonmail.com,402-7536 Nisi Av.,31327,Sacramento,Pennsylvania,PA,US,US0762393748278378566433,188.29.166.35,188.29.166.35,188.29.166.35,,,Sacramento,29a1df4646cb3417c19994a59a3e022a,"Samsung Electronics Co., Ltd.",,New Cingular Wireless LLC,Sacramento,Mobile Broadband,"Mozilla/5.0 (Android; Android 5.0.1; SAMSUNG SM-P805 Build/LRX22G) AppleWebKit/602.14 (KHTML, like Gecko) Chrome/49.0.2869.227 Mobile Safari/603.8",android,295000,86
756L9623I91070QX,Jocelyn,Foley,1-491-785-4388,Jocelyn_Foley@yahoo.com,yahoo.com,Ap #880-7299 Eu St.,43218,Wilmington,Massachusetts,MA,US,US16486710533273782347102663,61.224.45.158,61.224.45.158,61.224.45.158,,,Wilmington,29a1df4646cb3417c19994a59a3f166a,Apple Inc.,,Westfield Gas + Electric,Wilmington,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPhone; CPU iPhone OS 9_7_2; like Mac OS X) AppleWebKit/601.8 (KHTML, like Gecko) Chrome/53.0.2818.187 Mobile Safari/601.6",iphone,266000,97
173P6315X39520HA,Christian,Rhodes,1-342-568-1188,Christian_Rhodes@zoho.com,zoho.com,105-175 Felis. Street,78791,Metairie,Louisiana,LA,US,US65774821172861274464935198,146.130.26.15,146.130.26.15,146.130.26.15,,,Metairie,20a90fdcac2d886602c28079e87b0b29,,,"CoxCom, LLC",Metairie,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (Windows; Windows NT 10.3; WOW64; en-US) Gecko/20100101 Firefox/70.9,Linux,84000,92
795A5384C19440GD,Lila,Kennedy,1-426-227-5274,LilaKennedy@pm.com,pm.com,963-8062 Sed Ave,20563,Southaven,Mississippi,MS,US,US10384387263631,108.229.197.185,108.229.197.185,108.229.197.185,,,Southaven,3d7b37a121b61879187eb66107156c5e,Apple Inc.,,Foundation for California Community Colleges,Southaven,Mobile Broadband,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_9; like Mac OS X) AppleWebKit/535.36 (KHTML, like Gecko) Chrome/55.0.2573.102 Mobile Safari/601.6",iphone,90000,99
522S1295L48217GE,Baker,Bailey,1-945-189-8168,Baker7492@pm.com,pm.com,Ap #813-779 Litora St.,24328,Phoenix,New York,NY,US,US6606521714894,172.206.82.103,172.206.82.103,172.206.82.103,,,Phoenix,151efbf69c870cda3ce9915a2ac7df3c,Apple Inc.,,Andrena,Phoenix,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_0; like Mac OS X) AppleWebKit/535.20 (KHTML, like Gecko) Chrome/49.0.2838.240 Mobile Safari/535.0",iphone,302000,81
349B8883L87929MJ,Ebony,Tran,1-215-632-7645,Ebony_Tran@tutanota.com,tutanota.com,6208 Fringilla Ave,36268,Denver,New York,NY,US,US397025724438566697,16.200.25.195,16.200.25.195,16.200.25.195,,,Denver,5462b73b81c7b73c491c2570f2e06214,Motorola Mobility LLC,,Andrena,Denver,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; Android 5.1; MOTO E XT1021 Build/LXB22) AppleWebKit/533.40 (KHTML, like Gecko) Chrome/53.0.1933.330 Mobile Safari/533.5",android,308000,85
404Q3301C89805TT,Darryl,Snider,1-681-440-6723,Darryl239@aol.com,aol.com,441-5332 Phasellus Street,12042,Covington,Pennsylvania,PA,US,US98ANSR89629478632444,126.13.160.208,126.13.160.208,126.13.160.208,,,Covington,ff46bde69dafefe301c983c3e19c9c48,,,New Cingular Wireless LLC,Covington,Mobile Broadband,Mozilla / 5.0 (compatible; MSIE 8.0; Windows NT 6.2; WOW64; en-US Trident / 4.0),windows,186000,85
411N6579F40424OS,Moses,Russell,1-286-239-0189,Moses_Russell@hubspot.com,hubspot.com,365-4375 Magnis Rd.,35627,Overland Park,Kansas,KS,US,US9136490037261636,170.139.217.31,170.139.217.31,170.139.217.31,,,Overland Park,fc072b6a8a9199e962e08122653d3064,,,"North American Local, LLC",Overland Park,Mobile Broadband,Mozilla / 5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1; Trident / 4.0),windows,268000,98
598Z8482G27219CX,Jemima,Morin,1-782-444-1842,JemimaMorin@zoho.com,zoho.com,Ap #300-967 Semper St.,42328,Wichita,Kansas,KS,US,US7150784443311723986,247.196.116.191,247.196.116.191,247.196.116.191,,,Wichita,d858ae3282b698c5a2bf33491c61c85a,Apple Inc.,,"North American Local, LLC",Wichita,Mobile Broadband,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-US) AppleWebKit/602.48 (KHTML, like Gecko) Chrome/47.0.3632.294 Safari/536",chrome,182000,85
637D7816W65412VS,Jasper,Nielsen,1-343-847-8784,JasperNielsen@gmx.com,gmx.com,"555-1043 Sapien, Rd.",59355,Austin,Pennsylvania,PA,US,US72069089472218250937,134.239.80.56,134.239.80.56,134.239.80.56,,,Austin,01345070f7126b4644046b18530b1bc3,Google Inc./Others,,New Cingular Wireless LLC,Austin,Mobile Broadband,"Mozilla/5.0 (Linux; Android 7.0; Pixel XL Build/NME91E) AppleWebKit/602.7 (KHTML, like Gecko) Chrome/48.0.3654.320 Mobile Safari/537.1",android,213000,91
988P2241C85496CT,Leila,Valencia,1-775-604-1696,Valencia6480@titan.email,titan.email,Ap #218-5266 Vivamus Av.,71485,South Bend,Indiana,IN,US,US6753328130388926381844601,98.254.22.149,98.254.22.149,98.254.22.149,,,South Bend,bd1d7fbf3b7a8118d78d7748d6013faf,Apple Inc.,,Ridge Wireless LLC,South Bend,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPhone; CPU iPhone OS 9_4_6; like Mac OS X) AppleWebKit/601.44 (KHTML, like Gecko) Chrome/49.0.3263.188 Mobile Safari/536.7",iphone,341000,89
947Z2858T96478FE,India,Donaldson,1-551-630-6573,IndiaDonaldson@aol.com,aol.com,374-3644 Turpis Av.,20238,San Jose,Illinois,IL,US,US529243133935304775,7.189.183.9,7.189.183.9,7.189.183.9,,,San Jose,da6c86a55896c702fb0622aeb5e27d60,,,Cass Telephone Company,San Jose,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (Windows NT 10.0;; en-US) Gecko/20100101 Firefox/70.3,windows,78000,86
110T6588E88820UK,Deacon,Henson,1-811-542-5138,DeaconHenson@yahoo.com,yahoo.com,Ap #568-8440 Mi. Rd.,66515,Southaven,Mississippi,MS,US,US451337232282420371266,2.70.35.153,2.70.35.153,2.70.35.153,,,Southaven,a6a1b87b70774dd320a3d9f3f3910ca5,Apple Inc.,,Foundation for California Community Colleges,Southaven,Mobile Broadband,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_2) Gecko/20100101 Firefox/67.4,Linux,357000,99
