Cust_RefID,Cust_FirstName,Cust_LastName,Cust_PhoneNo,Cust_EmailAddress,Cust_EmailDomain,Cust_StreetAddress,Cust_Zip,Cust_AddressCity,Cust_AddressState,Cust_AddressStateISO,Cust_AddressCountry,Cust_Acct_IBAN,Device_Manufacturer,Connection Type,UA_OS,ISP City,UserIP_Blacklist,TrueIP_Blacklist,VirtualMachineSession,Page activity time,Cust_EstablishedIP,UserSessionInputIP,UserTrueIP,ISP,Device_ID,UserAgent,FinalScore
3F154E72-9580-4E,Steven,Perry,+1-970-485-9570x81894,Steven_Perry@icloud.com,icloud.com,9667 Anderson Isle Suite 872,74756,New York,New York,NY,US,US20612650599162738790,Apple Inc.,Fixed Broadband (Fibre/Cable/DSL),Windows,Phoenix,0.0,0.6896622267037481,0,7763,166.26.226.252,23.115.21.18,25.174.57.6,Comcast,e07919833a54473495a612c2a0f0fcab,Mozilla/5.0 (Windows; 15) AppleWebKit/537.36,10
688A88F6-AA5D-48,James,Savage,541-791-2549,James_Savage@hotmail.com,hotmail.com,20416 Barton Streets Apt. 191,56311,Phoenix,Arizona,AZ,US,US77809869881625468805,Lenovo,4G/5G,MacOS,Los Angeles,0.3882432410738952,0.32654449571199107,0,5135,236.141.37.185,57.182.36.110,142.180.111.62,Charter Spectrum,ee4d08cbbc52439c93618d874f4c3710,Mozilla/5.0 (MacOS; 12) AppleWebKit/537.36,0
60A96D23-0775-46,Jonathan,Carr,+1-671-834-3149x718,Jonathan_Carr@hotmail.com,hotmail.com,8390 Jonathan Ford Suite 991,37618,Los Angeles,California,CA,US,US88517342189568156207,Google LLC,4G/5G,Linux,Los Angeles,0.0,0.0,0,129074,91.55.247.148,91.55.247.148,91.55.247.148,T-Mobile,7a3963fd4534491fb670a5012809e214,Mozilla/5.0 (Linux; 11) AppleWebKit/537.36,100
F6759A1C-FD25-43,Matthew,Miller,001-458-818-6699x04331,Matthew_Miller@icloud.com,icloud.com,1892 Butler Stream,24031,Philadelphia,Pennsylvania,PA,US,US84038183623038649735,Lenovo,Satellite,Windows,Philadelphia,0.0,0.0,0,268123,118.194.123.85,118.194.123.85,118.194.123.85,Charter Spectrum,5665f61dcf2349609b4e0d061b02c26e,Mozilla/5.0 (Windows; 11) AppleWebKit/537.36,99
9A2ED94A-2BF4-45,Belinda,Bush,001-518-333-4383x044,Belinda_Bush@icloud.com,icloud.com,48483 Zachary Wall,37097,Dallas,Texas,TX,US,US14505236257532453650,Dell Inc.,4G/5G,Linux,Dallas,0.0,0.0,0,89146,155.75.25.246,155.75.25.246,155.75.25.246,Cox Communications,95167cb99ecc463a9df2cf10ffee0861,Mozilla/5.0 (Linux; 14) AppleWebKit/537.36,100
C07710F6-DD56-4C,Peter,Hernandez,360.249.8772x30430,Peter_Hernandez@icloud.com,icloud.com,148 Bill Mews,65336,San Diego,California,CA,US,US61234237787070388172,Google LLC,Satellite,Android,San Diego,0.0,0.0,0,48497,205.254.78.220,205.254.78.220,205.254.78.220,Verizon,3cd54fafa713403b9ddab28afdba78d8,Mozilla/5.0 (Android; 14) AppleWebKit/537.36,91
05658E9B-4213-4B,David,Blackburn,+1-249-722-6790x70267,David_Blackburn@hotmail.com,hotmail.com,887 Marshall Square Suite 436,14843,San Diego,California,CA,US,US97708252817085511082,"Samsung Electronics Co., Ltd.",4G/5G,MacOS,San Jose,0.5798419232382148,0.5641072352005227,1,859,104.211.81.12,64.157.245.246,67.164.47.196,Cox Communications,1f21dae8bae24a72813e3031a82e9ed7,Mozilla/5.0 (MacOS; 11) AppleWebKit/537.36,0
B2E7A19E-A88F-45,Parker,Byrd,001-787-982-5475x7405,Parker_Byrd@gmail.com,gmail.com,3919 Odonnell Mission,67133,Chicago,Illinois,IL,US,US90080529169275661417,Apple Inc.,Fixed Broadband (Fibre/Cable/DSL),iOS,Chicago,0.0,0.0,0,72745,23.26.151.60,23.26.151.60,23.26.151.60,T-Mobile,b2d22edc5e76494989def0f5d73164eb,Mozilla/5.0 (iOS; 11) AppleWebKit/537.36,94
F141A275-C869-47,Roger,Lopez,712.761.7551x2978,Roger_Lopez@outlook.com,outlook.com,511 Bell Forges,69368,San Jose,California,CA,US,US94806449584044588299,Huawei,Satellite,Windows,Chicago,0.2818202830473775,0.37080711580052805,1,2779,208.33.204.59,208.33.204.59,208.33.204.59,T-Mobile,a1abd90dd662444092464a3d858dc7c7,Mozilla/5.0 (Windows; 10) AppleWebKit/537.36,0
88F199A3-5C26-45,Lori,Stokes,532.919.5364,Lori_Stokes@hotmail.com,hotmail.com,70072 Matthew Court Apt. 492,14437,San Jose,California,CA,US,US98792118343144392092,Huawei,4G/5G,MacOS,San Jose,0.0,0.0,0,265042,197.219.11.26,197.219.11.26,197.219.11.26,Verizon,884722a3288743feabeb264dc3ec128f,Mozilla/5.0 (MacOS; 12) AppleWebKit/537.36,100
7B05A5BA-5504-41,Ricardo,Benjamin,001-957-883-9221x14238,Ricardo_Benjamin@protonmail.com,protonmail.com,40070 Wendy Road,51992,Chicago,Illinois,IL,US,US45334401214976547474,Apple Inc.,Fixed Broadband (Fibre/Cable/DSL),Linux,Chicago,0.0,0.0,0,35835,203.124.0.184,203.124.0.184,203.124.0.184,Cox Communications,0203dd4a3f894c42848fc50bbd4175c4,Mozilla/5.0 (Linux; 11) AppleWebKit/537.36,100
